propertyId,propertyName,secondary_property_type,primary_property_type,latitude,longitude,year_built,address_1,state_abbreviated,msa_code,zip_code,county_name,size,size_field,valuation,population10,income10
10002853,Financial Services-Bloomfield,Single Tenant,Other Retail,40.808052,-74.192478,,424 Broad Street,NJ,"New York-Newark-Jersey City, NY-NJ-PA",07003-2704,Essex,3657.0,sqft,539.204047156158,2277437.0,73683.0
10002847,Financial Services-Tannersville,Single Tenant,Other Retail,41.039173,-75.305894,,2856 Route 611,PA,"East Stroudsburg, PA",18372-7803,Monroe,2070.0,sqft,437.079317587878,115439.0,61980.0
10002808,Financial Services-Swarthmore,Single Tenant,Other Retail,39.901253,-75.350405,,31 South Chester Road,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19081-1718,Delaware,3126.0,sqft,242.156489145504,1040910.0,67330.0
10002807,Financial Services-Somerset,Single Tenant,Other Retail,40.008255,-79.078067,,108 East Main Street,PA,"Somerset, PA",15501-2023,Somerset,7322.0,sqft,227.088611911296,32628.0,49657.0
10002806,Financial Services-Dillsburg,Single Tenant,Other Retail,40.116522,-77.037239,,403 North Baltimore Street,PA,"York-Hanover, PA",17019-1219,York,2832.0,sqft,219.219587018187,143209.0,72958.0
10002803,Financial Services-Media II,Single Tenant,Other Retail,39.912726,-75.437296,,1170 West Baltimore Pike,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19063-5128,Delaware,2366.0,sqft,219.224971803771,734828.0,86381.0
10002801,Financial Services-Media I,Single Tenant,Other Retail,39.918064,-75.391747,,114 West State Street,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19063-3204,Delaware,12344.0,sqft,159.663343661874,931374.0,73616.0
10002706,Financial Services-Lehighton,Single Tenant,Other Retail,40.818614,-75.728445,,904 Blakeslee Boulevard Drive East,PA,"Allentown-Bethlehem-Easton, PA-NJ",18235-8768,Carbon,2868.0,sqft,386.365248211538,72000.0,60496.0
10002705,Financial Services-Pittsburgh,Single Tenant,Other Retail,40.49536,-80.05481,,470 Lincoln Avenue,PA,"Pittsburgh, PA",15202-3631,Allegheny,2760.0,sqft,268.448477888951,731173.0,61303.0
10002703,Financial Services-Philadelphia VI,Single Tenant,Other Retail,40.005616,-75.10894,,1001 East Erie Avenue,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19124-5413,Philadelphia,3653.0,sqft,232.897931490581,2199009.0,56222.0
10002701,Financial Services-Lansford,Single Tenant,Other Retail,40.832176,-75.885299,,13 West Ridge Street,PA,"Allentown-Bethlehem-Easton, PA-NJ",18232-1307,Carbon,7285.0,sqft,338.051684379027,67819.0,49360.0
10002700,Financial Services-Philadelphia V,Single Tenant,Other Retail,40.07485,-75.20447,,8340 Germantown Avenue,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19118-3404,Philadelphia,7096.0,sqft,247.073824578466,1929243.0,59877.0
10002699,Financial Services-Lansdale,Single Tenant,Other Retail,40.24156,-75.28371,,,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,Montgomery,3488.0,sqft,457.319566328495,,
10002697,Financial Services-North Wales,Single Tenant,Other Retail,40.22862,-75.26266,,,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",,Montgomery,3690.0,sqft,499.765115624104,,
10002696,Financial Services-Philadelphia IV,Single Tenant,Other Retail,39.960937,-75.148529,,North 6th Street,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19106,Philadelphia,3737.0,sqft,335.028837016404,2211864.0,56232.0
10002694,Financial Services-Harleysville,Single Tenant,Other Retail,40.279157,-75.38674,,483 Main Street,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19438-2311,Montgomery,80275.0,sqft,239.603434271768,356972.0,94637.0
10002693,Financial Services-Philadelphia III,Single Tenant,Other Retail,40.043086,-75.14405,,5900 North Broad Street,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19141-1802,Philadelphia,7070.0,sqft,189.721926973056,2164981.0,56857.0
10002692,Financial Services-Philadelphia II,Single Tenant,Other Retail,40.034579,-75.129341,,401 West Tabor Road,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19120-2809,Philadelphia,8653.0,sqft,215.790189757097,2179889.0,56531.0
10002690,Financial Services-Philadelphia I,Single Tenant,Other Retail,40.048833,-75.062385,,2200 Cottman Avenue,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19149-1203,Philadelphia,3617.0,sqft,193.637396349164,1879789.0,57867.0
10002689,Financial Services-Warren,Single Tenant,Other Retail,41.841787,-79.136732,,404 Pennsylvania Avenue East,PA,"Warren, PA",16365-2743,Warren,7136.0,sqft,183.911401177603,25517.0,47594.0
10022317,General Merchandise-Ebensburg,Single Tenant,Other Retail,40.475517,-78.750429,,300 Walmart Drive,PA,"Johnstown, PA",15931-4212,Cambria,151925.0,sqft,121.047282316119,46077.0,52848.0
10022337,Automotive Service-North Wales,Single Tenant,Other Retail,40.243838,-75.241592,,901 North Wales Road,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19454-1415,Montgomery,,sqft,359.835041211775,521135.0,93873.0
10022905,Convenience Store-Rochester,Single Tenant,Other Retail,43.18547,-77.6165,,,NY,"Rochester, NY",,Monroe,,sqft,184.901489215749,,
10022906,Drug Store-Orchard Park,Single Tenant,Other Retail,42.803366,-78.752401,,3008 Union Road,NY,"Buffalo-Cheektowaga-Niagara Falls, NY",14127-1215,Erie,,sqft,298.519618614226,456740.0,50681.0
10022907,Drug Store-Penn Yan,Single Tenant,Other Retail,42.660189,-77.056655,,226 Liberty Street,NY,"Rochester, NY",14527-1647,Yates,,sqft,178.216154748212,21408.0,57909.0
10028223,Home Furnishings-Green Island,Single Tenant,Other Retail,42.755682,-73.690904,,30 Veterans Memorial Drive,NY,"Albany-Schenectady-Troy, NY",12183-1517,Albany,257000.0,sqft,116.35039098584,387783.0,62265.0
10035641,Home Furnishings-Cortland,Single Tenant,Other Retail,42.578168,-76.214537,,3548 West Road,NY,"Cortland, NY",13045-8989,Cortland,12674.0,sqft,194.97429123879,52022.0,58586.0
10035642,Home Furnishings-Cranberry,Single Tenant,Other Retail,41.351323,-79.717264,,6967 US Route 322,PA,"Oil City, PA",16319,Venango,11969.0,sqft,165.46168004151,37129.0,47030.0
10035653,Home Furnishings-Oneonta,Single Tenant,Other Retail,42.44947,-75.04003,,5071 State Highway 23,NY,"Oneonta, NY",13820-3566,Otsego,11468.0,sqft,182.265715747713,31409.0,55563.0
10035659,Home Furnishings-Rotterdam,Single Tenant,Other Retail,42.80897,-73.9928,,90A West Campbell Road,NY,"Albany-Schenectady-Troy, NY",12306,Schenectady,12060.0,sqft,184.784084633452,213905.0,73565.0
10035791,Drug Store-Brooklyn I,Single Tenant,Other Retail,40.635133,-73.950777,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Kings,8000.0,sqft,515.337562425689,,
10035792,Drug Store-Brooklyn II,Single Tenant,Other Retail,40.635133,-73.950777,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Kings,8000.0,sqft,1139.5659708179,,
10035794,Drug Store-Jamaica,Single Tenant,Other Retail,40.69819,-73.79557,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Queens,8000.0,sqft,441.60025693096,,
10035796,Drug Store-Flushing,Single Tenant,Other Retail,40.658557,-73.837929,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Queens,8000.0,sqft,448.310643569633,,
10049620,Dollar Store-Gouverneur,Single Tenant,Other Retail,44.33401,-75.47492,,124 West Main Street,NY,"Ogdensburg-Massena, NY",13642-1336,Saint Lawrence,,sqft,197.5121170073,11791.0,42081.0
10049621,Dollar Store-Gowanda,Single Tenant,Other Retail,42.46617,-78.93528,,70 Buffalo Street,NY,"Buffalo-Cheektowaga-Niagara Falls, NY",14070-1204,Erie,,sqft,187.605204097881,21448.0,53321.0
10049709,Dollar Store-Malaga,Single Tenant,Other Retail,39.57364,-75.05229,,121 Old Dutch Mill Road,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08328-4216,Gloucester,,sqft,309.063678185878,162631.0,69440.0
10049803,Dollar Store-Schenectady,Single Tenant,Other Retail,42.79433,-73.94238,,,NY,"Albany-Schenectady-Troy, NY",,Schenectady,,sqft,372.150035113869,,
10049900,Wholesale Club-Clay,Single Tenant,Other Retail,43.19009,-76.23281,,4145 State Route 31,NY,"Syracuse, NY",13041-8756,Onondaga,,sqft,197.4890639037,221288.0,65543.0
10049904,Wholesale Club-Stroudsburg,Single Tenant,Other Retail,40.99761,-75.24326,,159 Pocono Commons Drive,PA,"East Stroudsburg, PA",18360-8703,Monroe,,sqft,303.41211298003,111818.0,62025.0
10049906,Wholesale Club-York,Single Tenant,Other Retail,39.921839,-76.728446,,,PA,"York-Hanover, PA",,York,,sqft,192.188468194984,,
10062342,Dollar Store-Penns Grove,Single Tenant,Other Retail,39.72085,-75.46748,,South Virginia Avenue,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08069,Salem,,sqft,273.02043929498,367951.0,65781.0
10062346,Dollar Store-Malone,Single Tenant,Other Retail,44.594374,-74.310669,,,NY,"Malone, NY",,Franklin,,sqft,409.716034160249,,
10062347,Dollar Store-Schroon Lake,Single Tenant,Other Retail,43.82989,-73.77241,,925 U.S. Route 9,NY,,12870-2418,Essex,,sqft,230.792106387918,3677.0,56024.0
10062366,Dollar Store-Smithfield,Single Tenant,Other Retail,39.81981,-79.78235,,2820 Morgantown Road,PA,"Pittsburgh, PA",15478-2609,Fayette,,sqft,211.307592644368,65272.0,45498.0
10062367,Dollar Store-Somerset II,Single Tenant,Other Retail,39.981296,-79.028485,,,PA,"Somerset, PA",,Somerset,,sqft,197.782315811285,,
10062457,Drug Store-Greece,Single Tenant,Other Retail,43.28418,-77.74521,,,NY,"Rochester, NY",,Monroe,,sqft,145.096070850961,,
10062458,Drug Store-Saint Albans,Single Tenant,Other Retail,40.658557,-73.837929,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Queens,,sqft,449.608592934587,,
10062462,Drug Store-Emmaus,Single Tenant,Other Retail,40.5316,-75.49915,,702 Chestnut Street,PA,"Allentown-Bethlehem-Easton, PA-NJ",18049-2018,Lehigh,,sqft,248.78358119601,416404.0,62849.0
10062463,Drug Store-Phoenixville,Single Tenant,Other Retail,40.13182,-75.5357,,200 Kimberton Road,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19460-4163,Chester,,sqft,268.891725886903,386722.0,102162.0
10062464,Drug Store-Uniontown,Single Tenant,Other Retail,39.914115,-79.644585,,,PA,"Pittsburgh, PA",,Fayette,,sqft,218.30814800873,,
10032435,Dollar Store-Buffalo,Single Tenant,Other Retail,42.752759,-78.778192,2011.0,,NY,"Buffalo-Cheektowaga-Niagara Falls, NY",,Erie,10566.0,sqft,205.577716987333,,
10072507,Drug Store-Ridgewood,Single Tenant,Other Retail,40.71084,-73.89774,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Queens,,sqft,476.34914665983,,
10072509,Drug Store-Rochester 2,Single Tenant,Other Retail,43.1558,-77.61632,,,NY,"Rochester, NY",,Monroe,,sqft,184.974420701975,,
10072510,Drug Store-Rochester 3,Single Tenant,Other Retail,43.1558,-77.61632,,,NY,"Rochester, NY",,Monroe,,sqft,184.974420701975,,
10091016,Automotive Parts-Lebanon,Single Tenant,Other Retail,40.34041,-76.41166,,,PA,"Lebanon, PA",,Lebanon,,sqft,259.945761657889,,
10091196,Dollar Store-Bath,Single Tenant,Other Retail,42.33704,-77.31802,,,NY,"Corning, NY",14810,Steuben,,sqft,240.791747844838,,
10091197,Dollar Store-Binghamton,Single Tenant,Other Retail,42.09924,-75.91977,,,NY,"Binghamton, NY",,Broome,,sqft,234.109959728514,,
10091198,Dollar Store-Chaumont,Single Tenant,Other Retail,44.05977,-76.11911,,12644 State Route 12,NY,"Watertown-Fort Drum, NY",13622-2142,Jefferson,,sqft,171.801631390744,14813.0,60794.0
10091199,Dollar Store-Falconer,Single Tenant,Other Retail,42.11412,-79.20655,,460 West Main Street,NY,"Jamestown-Dunkirk-Fredonia, NY",14733-1620,Chautauqua,,sqft,247.939745509658,59155.0,45601.0
10091217,Dollar Store-Lemont Furnace,Single Tenant,Other Retail,39.91496,-79.68216,,1236 Connellsville Street,PA,"Pittsburgh, PA",15456,Fayette,,sqft,243.791847487197,72926.0,44439.0
10091313,Drug Store-Carlstadt,Single Tenant,Other Retail,40.84069,-74.1007,,637 Hoboken Road,NJ,"New York-Newark-Jersey City, NY-NJ-PA",07072-1143,Bergen,,sqft,361.666920839741,4070047.0,80750.0
10091314,Drug Store-Ledgewood,Single Tenant,Other Retail,40.87935,-74.64994,,1131 US Highway 46,NJ,"New York-Newark-Jersey City, NY-NJ-PA",07852-9704,Morris,,sqft,392.599763239128,284227.0,113462.0
10091315,Drug Store-Mount Ephraim,Single Tenant,Other Retail,39.88105,-75.0863,,20 West Kings Highway,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08059-1303,Camden,,sqft,239.156558812113,1528741.0,56342.0
10091316,Drug Store-Sewell,Single Tenant,Other Retail,39.76633,-75.14415,,,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08080,Gloucester,,sqft,276.084498569564,,
10091346,Grocery Store-Seaford,Single Tenant,Other Retail,40.66595,-73.48801,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",11783,Nassau,,sqft,449.810817368973,,
10091347,Grocery Store-Upper Darby,Single Tenant,Other Retail,39.96037,-75.26296,,,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19082,Delaware,,sqft,264.052418053953,,
10091379,Other Manufacturing-East Windsor,Manufacturing,Industrial,40.2646,-74.54623,,,NJ,"Trenton, NJ",,Mercer,,sqft,116.484824204055,,
10091419,Telecommunication-East Syracuse,Single Tenant,Other Retail,43.06528,-76.07896,,,NY,"Syracuse, NY",13057,Onondaga,,sqft,184.942123752497,,
10114222,Dollar Store-Rochester,Single Tenant,Other Retail,43.16108,-77.61094,,,NY,"Rochester, NY",,Monroe,,sqft,179.981140059045,,
10114223,Dollar Store-Syracuse,Single Tenant,Other Retail,43.04812,-76.14742,,,NY,"Syracuse, NY",,Onondaga,,sqft,172.285609199473,,
10114278,Drug Store-Jackson III,Single Tenant,Other Retail,40.09189,-74.35875,,,NJ,"New York-Newark-Jersey City, NY-NJ-PA",08527,Ocean,,sqft,443.04143938631,,
10114279,Drug Store-Macedon,Single Tenant,Other Retail,43.06927,-77.29896,,,NY,"Rochester, NY",14502,Wayne,,sqft,194.286399648719,,
10114280,Drug Store-Ontario,Single Tenant,Other Retail,43.22094,-77.28338,,,NY,"Rochester, NY",14519,Wayne,,sqft,236.891353294189,,
10114290,Drug Store-Harrisburg,Single Tenant,Other Retail,40.27319,-76.88665,,,PA,"Harrisburg-Carlisle, PA",,Dauphin,,sqft,200.842610818144,,
10114315,General Merchandise-Milford,Single Tenant,Other Retail,41.32912,-74.81225,,,PA,"New York-Newark-Jersey City, NY-NJ-PA",,Pike,,sqft,306.857278835926,,
10114325,Health and Fitness-Montvale,Health Club,Specialty,41.0442,-74.06657,,10 Van Riper Road,NJ,"New York-Newark-Jersey City, NY-NJ-PA",07645-1838,Bergen,,sqft,432.003768608419,843174.0,112320.0
10114326,Health and Fitness-Harrison,Health Club,Specialty,41.02271,-73.72148,,1 Westchester Park Drive,NY,"New York-Newark-Jersey City, NY-NJ-PA",10604,Westchester,,sqft,603.16561983308,724105.0,124485.0
10114331,Home Improvement-Haddon Heights,Single Tenant,Other Retail,39.87884,-75.06382,,,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08035,Camden,,sqft,317.453169557973,,
10132578,Automotive Parts-Carnegie,Single Tenant,Other Retail,40.409,-80.0843,,,PA,"Pittsburgh, PA",15106,Allegheny,,sqft,205.585862129504,,
10132658,Convenience Store-Amherst II,Single Tenant,Other Retail,42.97906,-78.79226,,,NY,"Buffalo-Cheektowaga-Niagara Falls, NY",,Erie,,sqft,212.580485080134,,
10132734,Drug Store-Olean,Single Tenant,Other Retail,42.08253,-78.4299,,,NY,"Olean, NY",14760,Cattaraugus,,sqft,286.2094250765,,
10132861,Home Furnishings-Middletown,Single Tenant,Other Retail,41.44292,-74.42261,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",,Orange,,sqft,416.64838199129,,
10132864,Home Improvement-Voorhees Township,Single Tenant,Other Retail,39.84862,-74.95666,,,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08043,Camden,,sqft,290.105688544682,,
10132986,Restaurants-Quick Service-Falconer,Restaurant,Specialty,42.11892,-79.19808,,,NY,"Jamestown-Dunkirk-Fredonia, NY",14733,Chautauqua,,sqft,424.229843277488,,
10132987,Restaurants-Quick Service-Syracuse,Restaurant,Specialty,43.04863,-76.14741,,,NY,"Syracuse, NY",,Onondaga,,sqft,369.463506500586,,
10150116,Drug Store-Hamilton Township,Single Tenant,Other Retail,40.20735,-74.69458,,,NJ,"Trenton, NJ",,Mercer,,sqft,334.242180480049,,
10150117,Drug Store-Prospect Park,Single Tenant,Other Retail,39.88536,-75.30825,,,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",19076,Delaware,,sqft,279.46429632519,,
10150126,General Merchandise-Johnson City,Other Retail,Other Retail,42.11583,-75.9593,,,NY,"Binghamton, NY",13790,Broome,,sqft,100.578778129361,,
10150156,Health and Fitness-Patchogue,Health Club,Specialty,40.76605,-73.01921,,,NY,"New York-Newark-Jersey City, NY-NJ-PA",11772,Suffolk,,sqft,644.993940794125,,
10150157,Health and Fitness-Allentown,Health Club,Specialty,40.60261,-75.47614,,,PA,"Allentown-Bethlehem-Easton, PA-NJ",,Lehigh,,sqft,245.819296645612,,
10150245,Restaurants-Quick Service-Allentown,Restaurant,Specialty,40.60227,-75.47172,,,PA,"Allentown-Bethlehem-Easton, PA-NJ",,Lehigh,,sqft,374.383242934996,,
10150246,Restaurants-Quick Service-Bethlehem,Restaurant,Specialty,40.6177,-75.38499,,,PA,"Allentown-Bethlehem-Easton, PA-NJ",,Lehigh,,sqft,374.823110511579,,
10150247,Restaurants-Quick Service-Camp Hill,Restaurant,Specialty,40.24002,-76.91972,,,PA,"Harrisburg-Carlisle, PA",17011,Cumberland,,sqft,329.455610354778,,
10150248,Restaurants-Quick Service-Carlisle,Restaurant,Specialty,40.20147,-77.1891,,,PA,"Harrisburg-Carlisle, PA",,Cumberland,,sqft,349.239312697392,,
10150249,Restaurants-Quick Service-Columbia,Restaurant,Specialty,40.03385,-76.5048,,,PA,"Lancaster, PA",17512,Lancaster,,sqft,326.374348789362,,
10150250,Restaurants-Quick Service-Dillsburg,Restaurant,Specialty,40.11086,-77.03573,,,PA,"York-Hanover, PA",17019,York,,sqft,359.287152228329,,
10150251,Restaurants-Quick Service-Elizabethtown,Restaurant,Specialty,40.15274,-76.60279,,,PA,"Lancaster, PA",17022,Lancaster,,sqft,330.053913333351,,
10150252,Restaurants-Quick Service-Harrisburg II,Restaurant,Specialty,40.27392,-76.88484,,,PA,"Harrisburg-Carlisle, PA",,Dauphin,,sqft,334.749288941904,,
10150253,Restaurants-Quick Service-Harrisburg III,Restaurant,Specialty,40.27316,-76.88666,,,PA,"Harrisburg-Carlisle, PA",,Dauphin,,sqft,334.749288941904,,
10150254,Restaurants-Quick Service-Lebanon I,Restaurant,Specialty,40.34044,-76.41163,,,PA,"Lebanon, PA",,Lebanon,,sqft,357.580807853994,,
10150255,Restaurants-Quick Service-Lebanon II,Restaurant,Specialty,40.34044,-76.41163,,,PA,"Lebanon, PA",,Lebanon,,sqft,357.580807853994,,
10150256,Restaurants-Quick Service-Middletown,Restaurant,Specialty,40.20088,-76.72827,,,PA,"Harrisburg-Carlisle, PA",,Dauphin,,sqft,320.564399327833,,
10150257,Restaurants-Quick Service-York,Restaurant,Specialty,39.96245,-76.72775,,,PA,"York-Hanover, PA",,York,,sqft,370.938958556993,,
10150258,Restaurants-Quick Service-Hamburg,Restaurant,Specialty,40.55544,-75.98168,,,PA,"Reading, PA",19526,Berks,,sqft,338.139606919813,,
10150259,Restaurants-Quick Service-Sinking Spring,Restaurant,Specialty,40.32806,-76.01243,,,PA,"Reading, PA",,Berks,,sqft,365.357688570599,,
10150260,Restaurants-Quick Service-Ephrata,Restaurant,Specialty,40.17966,-76.17878,,,PA,"Lancaster, PA",17522,Lancaster,,sqft,313.937153120038,,
10150261,Restaurants-Quick Service-Red Lion,Restaurant,Specialty,39.90109,-76.60632,,,PA,"York-Hanover, PA",,York,,sqft,369.3130831653,,
10150262,Restaurants-Quick Service-Jonestown,Restaurant,Specialty,40.41354,-76.47997,,,PA,"Lebanon, PA",17038,Lebanon,,sqft,322.249750240733,,
10150274,Theater-Deptford,Cineplex Theater,Specialty,39.82617,-75.11806,,,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",08096,Gloucester,,number_of_seats,4798.24451079581,,
