propertyId,tenantInstitutionId,estimated_sales,rental_area
32945,5066507,12489902.0,16500.0
32940,4069240,672138.0,3000.0
32938,4095949,557218.0,900.0
7297,4058027,92060700.0,120000.0
7297,4069462,12567770.0,18000.0
7305,4004135,22132300.0,30000.0
33132,4068128,1101747.0,1200.0
43431,4067682,2422749.0,3150.0
43592,4068529,,1320.0
4483,4022715,2061081.0,1500.0
60413,4065938,18150528.0,22470.0
53793,4065940,26440832.0,19500.0
60414,106473,224733.0,205.0
43734,4069462,3034979.0,4500.0
55500,4071073,5518622.0,9000.0
55500,4066720,249631.0,600.0
25145,4254272,211620586.0,139800.0
25501,4620308,2381152.0,6000.0
25501,4066981,112183245.0,66400.0
25501,4067734,794624.0,2310.0
4877,4067108,53921747.0,205.0
4877,4231709,3958813.0,8800.0
25502,4069663,23805374.0,6800.0
25511,4071543,3400886.0,16500.0
25152,4257799,7926730.0,10450.0
28692,4110141,1677565.0,1435.0
28671,4064409,552752000.0,330000.0
59383,4309689,15994746.0,17400.0
25158,4063494,3188308.0,1230.0
25482,4067310,424209.0,900.0
25482,5334598,3499608.0,3200.0
25493,4068635,9157032.0,4400.0
25494,4068438,6236869.0,14000.0
4790,4067428,2084158.0,3900.0
60410,5012461,3068526816.0,2232000.0
54928,8635918,964830.0,6000.0
5190,4193280,440220.0,900.0
5215,4001588,11577482.0,18000.0
43026,4046897,2501747.0,3000.0
53400,4193280,10997195.0,19500.0
53400,4095864,36387534.0,30000.0
53400,4095949,5225303.0,9000.0
53400,4004135,31265340.0,36000.0
5964,4069283,24979803.0,33000.0
5964,4057779,54395142.0,65400.0
5969,4067081,6912672.0,14100.0
5980,4095638,2189006.0,11700.0
36074,4070074,2102366.0,10200.0
36074,4054203,989822.0,2100.0
5988,4058050,41420154.0,49800.0
6013,4068813,6034818.0,10800.0
6013,4067081,2937134.0,6600.0
17839,4067081,2002591.0,4500.0
25254,4069462,13759607.0,16500.0
25254,4226850,34023756.0,40800.0
4483,4046897,3406337.0,4500.0
61045,4182157,5036824.0,10500.0
61045,4120239,28855913.0,36900.0
25062,4120239,45417824.0,60000.0
25062,4068813,5364283.0,9600.0
6776,3005566,803018.0,1260.0
58478,5066507,16261354.0,19500.0
58478,4182157,6445427.0,12600.0
25065,4120239,27931962.0,36900.0
